Test Cases,,,,,,,,
Project Name -ORANGE HRM,,Start Date: 25/11/2025,,,,,,
,,End Date: 25/11/2025,,,,,,
Test case Design By,Vivek Kumar Ojha,Total Test case: 10,,,,,,
Peer Review By,,Pass: ,,,,,,
Approved By,,Fail:,,,,,,
,,,,,,,,
,,,,,,,,
Test ID,Test Scenario,Test cases,Test Data,Expected Result,Status,Actual Result,Remark/ Observations,Priority(P0/P1/P2)
Login_ 01,Verify Successful login,Enter valid username and password,"Username: Admin, Password : admin123",User should be logged in successfully and redirected to dashboard,Pass,As Expected,,
Login_02,Verify login with empty fields,Try to login without entering any credentials,Username: (empty)::Password: (empty),system should display valid message for both username and password,Pass,As Expected,,
login _03,Verify login with empty username,Try to login without entering username,"Username: (empty), Password: admin123","System should display ""Please enter Username"" message",Pass,As Expected,,
Login_04,Verify login with empty password,Try to login with empty password,"Username: Admin, Password: (empty)",System should display validation message for password field,Pass,As Expected,,
Login_05,Verify login with invalid credentials,Enter invalid username and password,"Username: Admin, Password: admin123",System should display appropriate error message and not allow login,Pass,As Expected,,
Login_06,Verify login with valid username but invalid password,Enter valid username but wrong password,"Username: Admin ,Password: wrong_password",System should display appropriate error message and not allow login,Pass,As Expected,,
Login_07,Verify login button is disabled when fields are empty,Observe login button state without entering credentials,Username: (empty) Password: (empty),Login button should be visually distinct or disabled,Pass,As Expected,,
Login_08,Verify max length of password field,Enter password exceeding maximum allowed length,Username: Admin Password: (string longer than allowed limit),System should either truncate input or show appropriate validation message,Pass,As Expected,,
Login_09,Verify special characters in username,Enter username with special characters,"Username: Admin@#$%"" Password: Admin123",System should handle special characters according to design requirements,Pass,As Expected,,
Login_10,Verify password strength validation,Enter password with varying strength,"Username: Admin, Password: admin123",System should display password strength indicator or validation message if required,Pass,As Expected,,
